Šifra,Oznaka,Naziv dijagnoze,Latinski naziv dijagnoze
2,A00,Kolera,Cholera
3,A000,"Kolera, uzročnik Vibrio cholerae 01,biotip cholerae",Cholera classica
4,A001,"Kolera, uzročnik Vibrio cholerae 01,biotip El Tor",Cholera El Tor
5,A009,"Kolera, neozačena","Cholera, non specificata"
6,A01,Tifusna groznica i paratifusna groznica,Febris typhica et febris paratyphica
7,A010,Trbušni tifus,Typhus abdominalis
8,A011,Paratifus A,Paratyphus A
9,A012,Paratifus B,Paratyphus B
10,A013,Paratifus C,Paratyphus C
11,A014,"Paratifus, neoznačen","Paratyphus, non specificatus"
12,A02,Druge infekcije uzrokovane salmonelama,Salmonelloses aliae
13,A020,Zapaljenje tankog creva uzrokovano salmonelama,Enteritis salmonellosa
14,A021,Sepsa uzrokovana salmonelama,Salmonellosis septica
15,A022,Lokalizovana infekcija salmonelama,Infectio per salmonellam localisata
16,A028,Druga označena infekcija salmonelama,"Infectio per salmonellam alia, specificata"
17,A029,"Salmonelozna infekcija, neoznačena","Infectio per salmonellam, non specificata"
18,A03,"Dizenterija, uzročnik Shigellae",Shigellosis
19,A030,"Dizenterija, uzročnik Shigella dysenteriae",Dysenteria bacillaris per Shigellam dysenteriae
20,A031,"Dizenterija, uzročnik Shigell flexneri",Dysenteria bacillaris per Shigellam flexneri
21,A032,"Dizenterija, uzročnik Shigella boydi",Dysenteria bacillaris per Shigellam boydi
22,A033,"Dizenterija,uzročnik Shigella sonnei Shigellosis D",Dysenteria bacillaris per Shigellam sonnei
23,A038,Druga dizenterija,Shigellosis alia
24,A039,"Dizenterija, neoznačena","Shigellosis, non specifiata"
25,A04,Druge infekcije creva uzrokovane bakterijama,Infectiones intestinales bacteriales aliae
26,A040,"Infekcija creva,uzročnik enteropatogena Escherichia coli",Infectio intestinalis per Escherichiam coli enteropathogenem
27,A041,"Infekcija creva,uzročnik enterotoksigena Escherichia coli",Infectio intestinalis per Escherichiam coli enterotoxigenem
28,A043,"Infekcija creva,uzročnik enterohemoragijska Escherichia coli",Infectio intestinalis per Escherichiam coli enterohaemorrhagicam
